TrailId,Time,Latitude,Longitude,Altitude,Distance,HeartRate
8884576484,2023-04-13T19:29:59.000+03:00,44.41471874713898,26.065807223320007,89.9,1014.07,116
8884576484,2023-04-13T19:30:00.000+03:00,44.414711356163025,26.06578767299652,89.49,1015.86,116
8884576484,2023-04-13T19:30:01.000+03:00,44.41470503807068,26.065768599510193,90.59,1017.6500000000002,115
8884576484,2023-04-13T19:30:02.000+03:00,44.414698123931885,26.065749406814575,90.4,1019.4400000000002,115
8884576484,2023-04-13T19:30:03.000+03:00,44.41469144821167,26.065728902816772,90.4,1021.2400000000001,115
8884576484,2023-04-13T19:30:04.000+03:00,44.41468417644501,26.065709233283997,90.5,1023.0400000000002,115
8884576484,2023-04-13T19:30:05.000+03:00,44.414677143096924,26.06569230556488,90.0,1024.8600000000001,114
8884576484,2023-04-13T19:30:06.000+03:00,44.41467070579529,26.065675139427185,90.1,1026.69,114
8884576484,2023-04-13T19:30:07.000+03:00,44.41466450691223,26.06565761566162,90.3,1028.5200000000002,113
8884576484,2023-04-13T19:30:08.000+03:00,44.414658546447754,26.065640449523926,90.5,1030.3400000000001,113
8884576484,2023-04-13T19:30:09.000+03:00,44.414652824401855,26.065623998641968,90.6,1032.15,112
8884576484,2023-04-13T19:30:10.000+03:00,44.41464674472809,26.065605640411377,90.3,1033.97,111
8884576484,2023-04-13T19:30:11.000+03:00,44.414639711380005,26.065585255622864,90.3,1035.77,111
8884576484,2023-04-13T19:30:12.000+03:00,44.41463303565979,26.065563559532166,90.3,1037.5500000000002,110
8884576484,2023-04-13T19:30:13.000+03:00,44.414626717567444,26.06554138660431,90.0,1039.3400000000001,110
8884576484,2023-04-13T19:30:14.000+03:00,44.414621233940125,26.065518975257874,90.4,1041.13,110
8884576484,2023-04-13T19:30:15.000+03:00,44.41461706161499,26.06549644470215,90.0,1042.94,110
8884576484,2023-04-13T19:30:16.000+03:00,44.41461384296417,26.065473079681396,90.1,1044.7600000000002,110
8884576484,2023-04-13T19:30:17.000+03:00,44.41461169719696,26.06544804573059,90.1,1046.5800000000002,110
8884576484,2023-04-13T19:30:18.000+03:00,44.41460907459259,26.06542181968689,89.69,1048.39,108
8884576484,2023-04-13T19:30:19.000+03:00,44.414608120918274,26.065395832061768,88.99,1050.21,108
8884576484,2023-04-13T19:30:20.000+03:00,44.41460740566254,26.065369486808777,89.5,1052.03,107
8884576484,2023-04-13T19:30:21.000+03:00,44.41460680961609,26.065343141555786,89.5,1053.8400000000001,107
8884576484,2023-04-13T19:30:22.000+03:00,44.41460621356964,26.065316677093506,89.6,1055.66,106
8884576484,2023-04-13T19:30:23.000+03:00,44.41460561752319,26.065289974212646,89.3,1057.49,106
8884576484,2023-04-13T19:30:24.000+03:00,44.414604902267456,26.065264225006104,89.3,1059.32,105
8884576484,2023-04-13T19:30:25.000+03:00,44.41460418701172,26.065240621566772,89.4,1061.17,105
8884576484,2023-04-13T19:30:26.000+03:00,44.414602637290955,26.06521737575531,89.49,1063.02,106
8884576484,2023-04-13T19:30:27.000+03:00,44.41460049152374,26.065194845199585,89.49,1064.87,107
8884576484,2023-04-13T19:30:28.000+03:00,44.41459858417511,26.065173029899597,89.49,1066.7300000000002,107
8884576484,2023-04-13T19:30:29.000+03:00,44.414597272872925,26.065151810646057,89.6,1068.5800000000002,108
8884576484,2023-04-13T19:30:30.000+03:00,44.41459631919861,26.065131187438965,89.9,1070.43,108
8884576484,2023-04-13T19:30:31.000+03:00,44.41459655761719,26.06511104106903,89.3,1072.2800000000002,108
8884576484,2023-04-13T19:30:32.000+03:00,44.41459774971008,26.065091371536255,89.9,1074.13,108
8884576484,2023-04-13T19:30:33.000+03:00,44.41460084915161,26.065072774887085,89.69,1075.9800000000002,108
8884576484,2023-04-13T19:30:34.000+03:00,44.41460657119751,26.065057516098022,89.9,1077.8300000000002,108
8884576484,2023-04-13T19:30:35.000+03:00,44.4146146774292,26.0650452375412,89.6,1079.69,108
8884576484,2023-04-13T19:30:36.000+03:00,44.4146249294281,26.065035581588745,89.0,1081.55,108
8884576484,2023-04-13T19:30:37.000+03:00,44.41463577747345,26.06502676010132,88.6,1083.42,108
8884576484,2023-04-13T19:30:38.000+03:00,44.4146466255188,26.065016269683838,89.2,1085.28,108
8884576484,2023-04-13T19:30:39.000+03:00,44.41465675830841,26.065004110336304,89.5,1087.14,104
8884576484,2023-04-13T19:30:40.000+03:00,44.41466557979584,26.06498944759369,88.8,1088.9900000000002,105
8884576484,2023-04-13T19:30:41.000+03:00,44.41467261314392,26.06497359275818,88.8,1090.8300000000002,105
8884576484,2023-04-13T19:30:42.000+03:00,44.41467905044556,26.064958333969116,88.7,1092.68,105
8884576484,2023-04-13T19:30:43.000+03:00,44.41468560695648,26.064945578575134,88.7,1094.53,105
8884576484,2023-04-13T19:30:44.000+03:00,44.41469323635101,26.064934968948364,88.7,1096.4,104
8884576484,2023-04-13T19:30:45.000+03:00,44.41470217704773,26.06492567062378,88.8,1098.2800000000002,104
8884576484,2023-04-13T19:30:46.000+03:00,44.41471195220947,26.064916968345642,89.0,1100.15,103
8884576484,2023-04-13T19:30:47.000+03:00,44.41472256183624,26.064908504486084,89.2,1102.03,103
8884576484,2023-04-13T19:30:48.000+03:00,44.41473340988159,26.064899921417236,89.1,1103.9,103
8884576484,2023-04-13T19:30:49.000+03:00,44.41474425792694,26.06489098072052,89.3,1105.7700000000002,103
8884576484,2023-04-13T19:30:50.000+03:00,44.41475522518158,26.064882159233093,89.3,1107.61,104
8884576484,2023-04-13T19:30:51.000+03:00,44.414766788482666,26.06487286090851,89.6,1109.45,104
8884576484,2023-04-13T19:30:52.000+03:00,44.41477847099304,26.064863562583923,89.8,1111.27,104
8884576484,2023-04-13T19:30:53.000+03:00,44.41479051113129,26.064854502677917,90.1,1113.0800000000002,104
8884576484,2023-04-13T19:30:54.000+03:00,44.41480278968811,26.06484568119049,90.1,1114.9,104
